Substance Price Ranking (Sorted by Price per Tablet/ML/Unit)
====================================================================================================
Substance       | Price/Unit   | MRP      | Unit Size       | Full Name
Pregabalin      | Rs   3.6100 | Rs   36.1 | 10's            | Pregabalin 75mg and Methylcobalamin 750mcg Capsule IP
Tramadol        | Rs   3.7500 | Rs    7.5 | 2 ml            | Tramadol Hydrochloride Injection 100 mg per 2 ml
Diazepam        | Rs   3.7500 | Rs    7.5 | 2 ML            | Diazepam Injection IP 5mg per ml
Gabapentin      | Rs   3.7500 | Rs   37.5 | 10's            | Gabapentin 300mg and Methylcobalamin 500mcg Tablet
Clonazepam      | Rs   3.7500 | Rs   37.5 | 10's            | Paroxetine Extended Release 12.5mg and Clonazepam 0.25mg Tablets
Pregabalin      | Rs   3.7500 | Rs   37.5 | 10's            | Etoricoxib 60mg and Pregabalin 75mg (SR) Tablets
Pregabalin      | Rs   4.2190 | Rs  42.19 | 10's            | Pregabalin 75 mg and Methylcobalamin 1500 mcg and Nortriptyline 10 mg Tablets
Bupropion       | Rs   4.2190 | Rs  42.19 | 10's            | Bupropion Prolonged-release Tablets IP 150 mg
Pregabalin      | Rs   4.2190 | Rs  42.19 | 10's            | Pregabalin 75mg and Duloxetin (Delayed Release) 20mg Capsules
Pregabalin      | Rs   4.6880 | Rs  46.88 | 10's            | Pregabalin (Sustained release) 75mg and Methylcobalamin 1500mcg Tablets
Pregabalin      | Rs   4.6880 | Rs  46.88 | 10's            | Pregabalin 75mg and Duloxetin (Delayed Release) 30mg Capsules
Modafinil       | Rs   4.6880 | Rs  46.88 | 10's            | Modafinil 100mg Tablets
Tramadol        | Rs   4.6900 | Rs   4.69 | 1 ml            | Tramadol HCl Injection 50mg 1 ml
Gabapentin      | Rs   5.1570 | Rs  51.57 | 10's            | Gabapentin 400mg and Nortriptyline 10mg Tablets
Gabapentin      | Rs   5.1570 | Rs  51.57 | 10's            | Gabapentin 300mg and Amitriptyline 10mg Tablets
Clonazepam      | Rs   5.6250 | Rs  56.25 | 10's            | Desvenlafaxine Extended Release 100mg and Clonazepam 0.5mg Tablets
Quetiapine      | Rs   6.0940 | Rs  60.94 | 10's            | Quetiapine Fumarate Tablets IP 200mg
Tapentadol      | Rs   6.0940 | Rs  60.94 | 10's            | Tapentadol 100mg Extended Release Tablets
Quetiapine      | Rs   7.0320 | Rs  70.32 | 10's            | Quetiapine Prolonged release Tablets IP 300mg
Modafinil       | Rs   7.8750 | Rs  78.75 | 10's            | Modafinil Tablets IP 200mg
Nandrolone      | Rs  18.7500 | Rs  18.75 | 1 ML            | Nandrolone Decanoate Injection IP 25 mg per ml
Nandrolone      | Rs  18.7500 | Rs   37.5 | 2 ml            | Nandrolone Decanoate Injection IP 50 mg per ml
Nandrolone      | Rs  28.1300 | Rs  28.13 | 1ml Ampoule in Mono Carton | Nandrolone Decanoate Injection IP 50mg/ml
Gabapentin      | Rs  60.9400 | Rs  60.94 | 30g             | Gabapentin 6% w/w, Lignocaine 5% w/w and Baclofen 2% w/w gel
